tag_count,is_answered,is_closed,view_count,answer_count,last_edit_date,score,percentage
2,0,1.0,1,0,0,0,7.3
1,0,1.0,1,0,0,0,6.3
4,0,1.0,43,1,1,2,19.7
3,0,1.0,11,1,0,0,13.3
3,0,1.0,6,0,1,0,4.8
3,0,1.0,2,0,0,0,8.6
4,0,1.0,28,1,1,0,14.4
3,1,1.0,100,5,1,39,63.6
4,0,1.0,13,2,0,0,16.9
4,0,1.0,14,1,1,0,10.2
4,0,1.0,6,1,0,0,12.8
3,0,1.0,2,0,0,0,8.6
1,0,1.0,4,1,0,0,9.2
3,0,1.0,8,0,1,0,5.4
2,0,1.0,17,0,1,0,7.1
2,1,1.0,100,5,1,48,66.2
3,1,1.0,100,3,1,20,52.0
5,0,1.0,3,0,1,0,5.9
5,1,1.0,71,2,1,0,35.3
5,1,1.0,77,3,1,1,39.49999999999999
2,0,1.0,2,0,0,0,7.6
3,0,1.0,4,0,0,0,9.2
1,0,1.0,14,0,1,0,5.2
5,1,1.0,68,3,1,0,36.4
3,0,1.0,9,1,0,0,12.7
2,1,1.0,6,1,0,0,15.8
3,0,1.0,2,0,0,0,8.6
2,1,1.0,14,2,0,0,20.2
5,0,1.0,2,0,0,0,10.6
4,0,1.0,24,1,1,0,13.2
5,0,1.0,6,0,0,0,11.8
4,1,1.0,11,2,0,0,21.3
2,0,1.0,4,0,0,0,8.2
5,0,1.0,39,0,1,0,16.7
4,0,1.0,12,0,1,0,7.6
5,0,1.0,45,1,0,1,25.9
3,1,1.0,100,5,1,4,49.6
5,0,1.0,2,0,0,0,10.6
3,0,1.0,100,1,0,0,40.0
4,0,1.0,44,1,0,0,24.2
2,0,1.0,14,1,1,0,8.2
2,0,1.0,17,1,1,1,9.5
3,0,1.0,13,1,0,0,13.9
5,1,1.0,100,5,1,8,53.2
2,0,1.0,4,0,1,0,3.2
4,1,1.0,63,2,0,0,36.9
5,0,1.0,18,0,1,1,10.799999999999999
3,0,1.0,10,0,1,0,6.0
4,0,1.0,7,1,0,0,13.1
3,0,1.0,14,1,1,0,9.2
5,0,1.0,17,1,1,0,12.1
1,0,1.0,6,0,1,0,2.8
1,0,1.0,10,0,0,1,9.4
4,1,1.0,100,5,0,30,66.0
2,1,1.0,43,1,0,0,26.9
5,0,1.0,3,0,0,0,10.9
2,0,1.0,6,0,1,0,3.8
1,0,1.0,58,1,1,0,20.4
5,1,1.0,37,2,1,2,25.900000000000002
3,1,1.0,19,1,0,0,20.7
2,1,1.0,100,3,0,11,52.4
3,0,1.0,6,0,1,0,4.8
4,0,1.0,8,0,1,0,6.4
5,0,1.0,14,1,0,0,16.2
3,1,1.0,29,1,1,0,18.7
2,0,1.0,4,0,0,0,8.2
3,0,1.0,12,1,1,0,8.6
1,0,1.0,15,1,0,0,12.5
1,0,1.0,3,0,0,0,6.9
1,0,1.0,3,0,0,0,6.9
2,0,1.0,19,1,0,0,14.7
2,0,1.0,9,0,1,0,4.699999999999999
3,0,1.0,5,0,0,0,9.5
3,0,1.0,6,0,0,0,9.8
3,0,1.0,13,1,0,0,13.9
3,0,1.0,15,1,1,0,9.5
3,1,1.0,12,2,1,0,15.6
5,0,1.0,4,0,0,0,11.2
3,0,1.0,39,2,0,1,24.099999999999998
3,0,1.0,6,1,0,0,11.8
4,0,1.0,6,0,0,0,10.8
2,0,1.0,25,0,1,0,9.5
5,0,1.0,3,0,0,0,10.9
2,0,1.0,15,0,1,0,6.5
4,0,1.0,44,2,1,0,21.2
3,0,1.0,6,0,1,0,4.8
2,0,1.0,5,0,0,0,8.5
2,0,1.0,11,0,0,0,10.3
4,1,1.0,13,1,0,1,20.299999999999997
2,0,1.0,14,0,1,0,6.2
1,0,1.0,7,1,0,0,10.1
2,0,1.0,32,1,1,0,13.6
4,0,1.0,14,0,1,0,8.2
3,0,1.0,22,0,1,1,10.0
5,1,1.0,100,2,1,1,44.4
5,0,1.0,16,0,1,0,9.8
2,0,1.0,9,0,1,0,4.699999999999999
1,0,1.0,7,0,0,0,8.1
2,0,1.0,4,0,0,0,8.2
2,0,1.0,15,2,0,0,15.5
2,0,1.0,4,0,0,0,8.2
2,0,1.0,15,2,0,0,15.5
3,0,1.0,12,0,1,0,6.6
3,0,1.0,7,0,0,0,10.1
5,0,1.0,21,1,0,0,18.3
2,0,1.0,21,0,1,0,8.3
4,0,1.0,6,0,0,0,10.8
4,0,1.0,10,0,0,0,12.0
1,0,1.0,10,0,0,0,9.0
4,0,1.0,20,1,1,0,12.0
2,0,1.0,9,1,0,0,11.7
4,0,1.0,6,0,0,0,10.8
5,0,1.0,100,2,1,0,39.0
3,0,1.0,5,0,0,0,9.5
2,0,1.0,3,0,0,0,7.9
