,ChannelID,ViewCount,likeCount,dislikeCount,uploadedDate,category,videoLanguage,duration,commentCount,subCount,TotalViewCount,VideoCount,channelDate,channelLocation,likePer,dislikePer,LikeDisRatio,days to publish,title
0,kJQP7kiw5Fk,6810665113,38009341,4542238,2017-01-13,Music,Not specified,0 days 00:04:42.000000000,3343445,17700000,12064126579,70,2009-05-12,US,55.81,6.67,8.37,2803,Luis Fonsi - Despacito ft. Daddy Yankee
1,XqZsoesa55w,5660601951,17460458,7696685,2016-06-17,Education,en,0 days 00:02:17.000000000,0,34600000,14927552018,1576,2011-12-14,US,30.85,13.6,2.27,1647,Baby Shark Dance | Sing and Dance! | @Baby Shark Official | PINKFONG Songs for Children
2,JGwWNGJdvx8,4833258949,23270159,1242243,2017-01-30,Music,en,0 days 00:04:24.000000000,955121,44700000,20210654347,161,2006-08-08,Not specified,48.15,2.57,18.74,3828,Ed Sheeran - Shape of You [Official Video]
3,RgKAFK5djSk,4594608567,28657750,876931,2015-04-07,Music,Not specified,0 days 00:03:58.000000000,1846239,21700000,9944086174,496,2008-05-09,Not specified,62.37,1.91,32.65,2524,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack
4,KYniUCGPGLs,4292708901,7018038,3877033,2012-01-31,Entertainment,ru,0 days 00:06:53.000000000,11726,31400000,23420307961,3127,2006-12-16,RU,16.35,9.03,1.81,1872,Маша и Медведь (Masha and The Bear) - Маша плюс каша (17 Серия)
5,OPf0YbXqDm0,3868117437,14364042,875218,2014-11-19,Music,Not specified,0 days 00:04:31.000000000,508581,3780000,4434390477,109,2009-09-02,Not specified,37.13,2.26,16.43,1904,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars
6,9bZkp7q19f0,3657427717,18216008,2426201,2012-07-15,Music,Not specified,0 days 00:04:13.000000000,5023923,13700000,7683660810,90,2010-10-04,Not specified,49.81,6.63,7.51,650,PSY - GANGNAM STYLE(강남스타일) M/V
7,_nAu9D-8srA,3423753831,9806112,6395268,2018-02-27,Education,ru,0 days 00:05:11.000000000,0,15000000,3455223275,14,2018-02-20,TR,28.64,18.68,1.53,7,Учим цвета-Разноцветные яйца на ферме
8,F4tHL8reNCs,3423546718,9010747,5895301,2016-10-08,Music,en,0 days 00:01:41.000000000,48509,30400000,13618306361,459,2014-08-05,US,26.32,17.22,1.53,795,Johny Johny Yes Papa 👶 THE BEST Song for Children | LooLoo Kids
9,fRh_vgS2dFE,3297610968,12900939,1585164,2015-10-22,Music,Not specified,0 days 00:03:26.000000000,826604,32700000,20447952069,152,2009-09-26,US,39.12,4.81,8.13,2217,Justin Bieber - Sorry (PURPOSE : The Movement)
10,09R8_2nJtjg,3210825818,11665326,515150,2015-01-14,Music,Not specified,0 days 00:05:02.000000000,362362,15000000,15229347459,122,2009-05-12,US,36.33,1.6,22.71,2073,Maroon 5 - Sugar (Official Music Video)
11,CevxZvSJLk8,3093954921,11250950,885559,2013-09-05,Music,Not specified,0 days 00:04:30.000000000,667160,25500000,19304725063,145,2009-12-13,US,36.36,2.86,12.71,1362,Katy Perry - Roar (Official)
12,lp-EO5I60KA,3014179223,11359847,499540,2014-10-07,Music,Not specified,0 days 00:04:57.000000000,315468,44700000,20210654347,161,2006-08-08,Not specified,37.69,1.66,22.7,2982,Ed Sheeran - Thinking Out Loud [Official Video]
13,hT_nvWreIhg,2986475065,11385939,388705,2013-05-31,Music,Not specified,0 days 00:04:44.000000000,371189,5730000,5023736465,169,2009-05-12,Not specified,38.13,1.3,29.33,1480,OneRepublic - Counting Stars (Official Music Video)
14,nfWlot6h_JM,2927256477,9338249,980168,2014-08-18,Music,Not specified,0 days 00:04:02.000000000,527679,26700000,18795088520,125,2009-05-12,US,31.9,3.35,9.52,1924,Taylor Swift - Shake It Off
15,NUsoVlDFqZg,2863154568,7101182,507693,2014-04-11,Music,Not specified,0 days 00:04:47.000000000,220410,13300000,12679081883,128,2009-05-12,Not specified,24.8,1.77,14.01,1795,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona (Español)"
16,YqeW9_5kURI,2829205132,12368967,535103,2015-03-23,Music,Not specified,0 days 00:02:59.000000000,403365,13400000,7253325256,349,2009-04-30,US,43.72,1.89,23.13,2153,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video)
17,0KSOMA3QBU0,2794978223,10257974,1148746,2014-02-20,Music,Not specified,0 days 00:03:45.000000000,654065,25500000,19304725063,145,2009-12-13,US,36.7,4.11,8.93,1530,Katy Perry - Dark Horse (Official) ft. Juicy J
18,60ItHLz5WEA,2771073055,19809212,527605,2015-12-04,Music,en,0 days 00:03:33.000000000,1078542,34700000,8231895125,231,2012-08-25,NO,71.49,1.9,37.63,1196,Alan Walker - Faded
19,RBumgq5yVrA,2706210186,10717156,343492,2012-07-25,Music,Not specified,0 days 00:04:15.000000000,342441,5800000,3227293638,253,2006-12-05,GB,39.6,1.27,31.18,2059,Passenger | Let Her Go (Official Video)
20,wnJ6LuUFpMo,2705845951,13951361,874158,2017-06-30,Music,Not specified,0 days 00:03:06.000000000,480242,13600000,14232690956,175,2010-09-30,CO,51.56,3.23,15.96,2465,"J Balvin, Willy William - Mi Gente (Official Video)"
21,aJOTlE1K90k,2695079576,16559372,694294,2018-05-31,Music,Not specified,0 days 00:04:31.000000000,602784,15000000,15229347459,122,2009-05-12,US,61.44,2.58,23.81,3306,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video)
22,YQHsXMglC9A,2666776488,15503645,833433,2015-10-23,Music,Not specified,0 days 00:06:07.000000000,887921,15600000,8874824088,31,2009-10-15,Not specified,58.14,3.13,18.58,2199,Adele - Hello
23,WRVsOCh907o,2670326730,5740441,3667565,2018-05-02,Education,en,0 days 00:02:53.000000000,16048,85100000,65889651805,536,2006-09-01,US,21.5,13.73,1.57,4261,Bath Song | CoComelon Nursery Rhymes & Kids Songs
24,e-ORhEE9VVg,2600277742,10102858,687104,2014-11-10,Music,Not specified,0 days 00:04:33.000000000,571542,26700000,18795088520,125,2009-05-12,US,38.85,2.64,14.72,2008,Taylor Swift - Blank Space
25,hq3yfQnllfQ,2663642200,0,0,2014-03-06,Education,en,0 days 00:04:06.000000000,432,36400000,23192908684,360,2013-02-09,IN,0,0,#DIV/0!,390,Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children
26,6Mgqbai3fKo,2543204340,8569527,738568,2016-11-18,Music,Not specified,0 days 00:03:20.000000000,386792,18900000,17999922642,166,2009-09-02,Not specified,33.7,2.9,11.62,2634,Shakira - Chantaje (Official Video) ft. Maluma
27,pRpeEdMmmQ0,2516935698,10918499,685402,2010-06-04,Music,Not specified,0 days 00:03:31.000000000,988167,18900000,17999922642,166,2009-09-02,Not specified,43.38,2.72,15.95,275,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song)
28,PT2_F-1esPk,2503318632,10559644,496749,2016-07-29,Music,Not specified,0 days 00:04:22.000000000,359490,11700000,9807137316,188,2012-10-22,Not specified,42.18,1.98,21.3,1376,The Chainsmokers - Closer (Lyric) ft. Halsey
29,3AtDnEC4zak,2457874351,9969491,342450,2016-08-02,Music,Not specified,0 days 00:03:51.000000000,345002,16800000,6469558700,90,2009-09-09,US,40.56,1.39,29.18,2519,Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]
30,2Vv-BfVoq4g,2440201561,12867915,499901,2017-11-09,Music,Not specified,0 days 00:04:40.000000000,378057,44700000,20210654347,161,2006-08-08,Not specified,52.73,2.05,25.72,4111,Ed Sheeran - Perfect (Official Music Video)
31,7PCkvCPvDXk,2376608315,7674177,845000,2014-06-11,Music,Not specified,0 days 00:03:10.000000000,470597,8380000,6089394526,101,2014-02-26,Not specified,32.29,3.56,9.07,105,Meghan Trainor - All About That Bass
32,kOkQ4T5WO9E,2350570840,8388337,498095,2016-06-17,Music,Not specified,0 days 00:04:00.000000000,293150,12200000,11902079212,143,2009-10-15,Not specified,35.69,2.12,16.83,2437,Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna
33,papuvlVeZg8,2351082165,9864114,478354,2016-10-21,Music,Not specified,0 days 00:04:14.000000000,261361,8790000,5605601070,104,2010-06-21,Not specified,41.96,2.03,20.67,2314,Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video]
34,FzG4uDgje3M,2390924694,9240823,3018402,2018-04-05,Music,Not specified,0 days 00:02:33.000000000,426172,23300000,12947907893,4044,2006-10-24,Not specified,38.65,12.62,3.06,4181,El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music]
35,HP-MbfHFUqs,2303049022,0,0,2014-08-09,Education,en,0 days 00:54:13.000000000,2974,30200000,26481979236,1218,2011-06-22,US,0,0,#DIV/0!,1144,Wheels On The Bus | Nursery Rhymes for Babies | Learn with Little Baby Bum | ABCs and 123s
36,5GL9JoH4Sws,2293050039,9116345,588354,2016-02-26,Music,Not specified,0 days 00:03:40.000000000,445453,9930000,6237106005,87,2013-03-04,Not specified,39.76,2.57,15.47,1089,Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign
37,2vjPBrBU-TM,2250394393,9573170,558157,2014-05-06,Music,Not specified,0 days 00:03:52.000000000,530361,10000000,8634523187,105,2009-05-12,Not specified,42.54,2.48,17.15,1820,Sia - Chandelier (Official Music Video)
38,kffacxfA7G4,2247701484,13730040,11393598,2010-02-19,Music,Not specified,0 days 00:03:45.000000000,4565909,32700000,20447952069,152,2009-09-26,US,61.08,50.69,1.2,146,Justin Bieber - Baby ft. Ludacris (Official Music Video)
39,ohHYABXMqUQ,2263693509,5104360,3065894,2018-08-10,Education,en,0 days 00:04:08.000000000,15738,85100000,65889651805,536,2006-09-01,US,22.55,13.54,1.67,4361,Yes Yes Vegetables Song | CoComelon Nursery Rhymes & Kids Songs
40,k85mRPqvMbE,2201677834,8445055,1528822,2009-06-17,Music,en,0 days 00:02:54.000000000,472986,7950000,4026487660,15,2009-05-12,DE,38.36,6.94,5.53,36,Crazy Frog - Axel F (Official Video)
41,9jI-z9QN6g8,2170876162,8950540,879820,2018-04-11,Music,Not specified,0 days 00:07:03.000000000,477080,6880000,3158018817,50,2013-11-07,US,41.23,4.05,10.18,1616,"Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna - Te Bote Remix (Video Oficial)"
42,k2qgadSvNyU,2161932101,12114270,560347,2017-07-07,Music,Not specified,0 days 00:03:45.000000000,330888,14300000,5000476298,122,2011-02-05,GB,56.03,2.59,21.63,2344,Dua Lipa - New Rules (Official Music Video)
43,AJtDXIazrMo,2130036634,9939853,404436,2015-01-22,Music,Not specified,0 days 00:04:10.000000000,258649,7780000,5333066683,106,2010-02-11,US,46.67,1.9,24.56,1806,Ellie Goulding - Love Me Like You Do (Official Video)
44,DK_0jXPuIr0,2092742018,8798694,1120441,2015-08-31,Music,Not specified,0 days 00:04:58.000000000,508363,32700000,20447952069,152,2009-09-26,US,42.04,5.35,7.86,2165,Justin Bieber - What Do You Mean? (Official Music Video)
45,VqEbCxg2bNI,2048298183,6149915,676654,2017-08-18,Music,Not specified,0 days 00:04:34.000000000,240327,6520000,4283572342,62,2015-03-21,US,30.02,3.3,9.1,881,Natti Natasha ❌ Ozuna - Criminal [Official Video]
46,L0MK7qz13bU,2037580161,4578675,933539,2014-01-30,Film & Animation,Not specified,0 days 00:04:03.000000000,205866,5010000,3849976921,1368,2007-12-07,GB,22.47,4.58,4.91,2246,FROZEN | Let It Go Sing-along | Official Disney UK
47,pXRviuL6vMY,2037728311,12571713,450726,2015-04-28,Music,en,0 days 00:03:46.000000000,528191,13000000,10517010284,1146,2006-06-09,US,61.69,2.21,27.91,3245,twenty one pilots: Stressed Out [OFFICIAL VIDEO]
48,astISOttCQ0,2025140175,4452220,1453820,2007-10-09,Film & Animation,Not specified,0 days 00:02:44.000000000,312919,7210000,3667044974,8,2007-03-13,US,21.98,7.18,3.06,210,The Gummy Bear Song - Long English Version
49,uelHwf8o7_U,2006736703,9012824,326491,2010-08-05,Music,Not specified,0 days 00:04:27.000000000,537999,25600000,14846970870,86,2009-05-12,Not specified,44.91,1.63,27.55,450,Eminem - Love The Way You Lie ft. Rihanna
0,jjd-BeTX6U0,1998974298,2593034,1415450,2016-04-13,Entertainment,Not specified,0 days 00:05:57.000000000,0,25400000,39512363458,1736,2015-03-17,US,12.97,7.08,1.83,393,HUGE EGGS Surprise Toys Challenge with Inflatable water slide
1,TyHvyGVs42U,1999616375,8600550,665728,2017-11-17,Music,Not specified,0 days 00:03:31.000000000,327276,17700000,12064177641,70,2009-05-12,US,43.01,3.33,12.92,3111,"Luis Fonsi, Demi Lovato - Échame La Culpa (Video Oficial)"
2,IcrbM1l_BoI,1931045919,8645156,275005,2013-07-29,Music,Not specified,0 days 00:04:33.000000000,573091,11100000,7120321439,135,2011-11-29,Not specified,44.77,1.42,31.53,608,Avicii - Wake Me Up (Official Video)
3,1_zgKRBrT0Y,1940213676,9201738,717509,2018-10-05,Music,Not specified,0 days 00:03:58.000000000,284809,78700,2316039857,47,2009-09-02,Not specified,47.43,3.7,12.82,3320,"Pedro Capó, Farruko - Calma (Remix - Official Video)"
4,lY2yjAdbvdQ,1922641664,8356335,296531,2016-07-12,Music,Not specified,0 days 00:04:17.000000000,245136,11000000,7973665292,120,2014-06-10,Not specified,43.46,1.54,28.22,763,Shawn Mendes - Treat You Better
5,DiItGE3eAyQ,1921060673,9080399,672582,2019-01-24,Music,es-419,0 days 00:03:31.000000000,320371,29900000,10903013972,352,2011-05-16,PR,47.27,3.5,13.51,2810,Daddy Yankee & Snow - Con Calma (Video Oficial)
6,fLexgOxsZu0,1884519217,8858533,496442,2011-04-15,Music,Not specified,0 days 00:03:29.000000000,440403,27400000,12013250398,67,2006-09-19,Not specified,47.01,2.63,17.87,1669,Bruno Mars - The Lazy Song (Official Video)
7,gMrl27dbT_Y,1862218212,5080151,3317738,2017-09-16,Education,Not specified,0 days 00:02:14.000000000,36036,10800000,3557924819,388,2011-10-20,IN,27.28,17.82,1.53,2158,Hush a Bye Baby | Lullaby for Babies | Infobells
8,_I_D_8Z4sJE,1863356905,8159604,579815,2018-03-02,Music,Not specified,0 days 00:03:12.000000000,252507,20700000,13075592289,250,2012-01-10,PR,43.79,3.11,14.08,2243,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon
9,YBHQbu5rbdQ,1838152140,8152570,419791,2015-03-28,Music,Not specified,0 days 00:03:45.000000000,314391,9930000,6237128791,87,2013-03-04,Not specified,44.35,2.28,19.45,754,Fifth Harmony - Worth It (Official Video) ft. Kid Ink
10,KQ6zr6kCPj8,1836103515,8104271,415613,2011-03-09,Music,Not specified,0 days 00:06:16.000000000,595084,7330000,3913356912,28,2009-05-12,Not specified,44.14,2.26,19.53,666,"LMFAO ft. Lauren Bennett, GoonRock - Party Rock Anthem (Official Video)"
11,PIh2xe4jnpk,1827138794,7020289,290878,2013-12-06,Music,Not specified,0 days 00:03:46.000000000,190967,2220000,2197847193,48,2013-10-07,US,38.42,1.59,24.16,60,MAGIC! - Rude (Official Music Video)
12,GMFewiplIbw,1826325681,5863912,678555,2017-07-14,Music,Not specified,0 days 00:03:32.000000000,294532,6430000,6702405637,78,2012-09-04,Not specified,32.11,3.72,8.63,1774,"Becky G, Bad Bunny - Mayores (Official Video)"
13,FM7MFYoylVs,1818644758,7930175,318362,2017-02-22,Music,Not specified,0 days 00:04:08.000000000,234196,11700000,9807178841,188,2012-10-22,Not specified,43.6,1.75,24.91,1584,The Chainsmokers & Coldplay - Something Just Like This (Lyric)
14,ixkoVwKQaJg,1819097021,13475568,835034,2018-10-10,Music,Not specified,0 days 00:03:52.000000000,483828,6490000,5299505322,40,2014-01-27,Not specified,74.08,4.59,16.14,1717,"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)"
15,MR5XSOdjKMA,1826604731,4121399,2741824,2018-06-25,Education,Not specified,0 days 00:02:45.000000000,7276,85100000,65892118352,536,2006-09-01,US,22.56,15.01,1.5,4315,Baa Baa Black Sheep | CoComelon Nursery Rhymes & Kids Songs
16,kHSFpGBFGHY,1747746199,0,0,2014-11-14,Education,en,0 days 01:06:05.000000000,0,36400000,23193619130,360,2013-02-09,IN,0,0,#DIV/0!,643,Johny Johny Yes Papa and Many More Videos | Popular Nursery Rhymes Collection by ChuChu TV
17,SXiSVQZLje8,1750699093,9112724,534755,2016-08-30,Music,Not specified,0 days 00:03:58.000000000,484837,18300000,14145417554,112,2010-10-21,Not specified,52.05,3.05,17.07,2140,Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj
